name,addr,addr_more,comment_num,score,phone_number,decoration_time,open_time,lowest_price
鸿炜亿家连锁酒店(牛街礼拜寺店),西城区,西城区牛街西里二区8号楼（牛街礼拜寺西南侧）,490,4.7,010-58376353/16601124443,2016,2009,100
圣庭四季商务酒店,朝阳区,朝阳区左安路9号十里河（潘家园大厦，距中国医学院肿瘤医院仅560米）,454,4.7,010-67615588,2016,2017,298
优洁商务宾馆(北京南站店),丰台区,丰台区西罗园二区20号（西罗园小学对面）,438,4.7,010-87107566,2016,2015,246
城琰酒店(北京南站店),丰台区,丰台区角门北路6号（京虎门院内楼后）,408,4.7,010-56057678,2016,2016,447
海友酒店(北京南站洋桥店),丰台区,丰台区洋桥北里24号楼（首航超市二楼）,182,4.7,010-87107932,2016,2016,246
椿舍四合院,西城区,西城区宣武门西大街89号,154,4.7,18519713041,2016,2017,105
白玉兰酒店(北京西客站店),西城区,西城区马连道北路1号（近西客站南广场）,2902,4.7,010-51710988,2015,2005,389
速8酒店(北京陶然亭地铁站西店),西城区,西城区右安门内大街59号（近陶然亭地铁站店D出口）,1428,4.7,010-63521724,2015,2014,228
华琦乐宾馆(新街口地铁站店),西城区,西城区冠英园西区20号楼（地铁4号线新街口站C口出南行100米）,1337,4.7,010-66156796,2015,2005,239
如家酒店(北京国贸双井地铁站店),朝阳区,朝阳区东三环南路48号（位于东三环双井桥与劲松桥之间马路东侧）,1127,4.7,010-67786633,2015,2006,316
尚客优快捷酒店(北京朝阳潘家园店),朝阳区,朝阳区华威路36路公交站7号楼（弘钰博古玩城对过）,802,4.7,010-67721866/67750288,2015,2015,298
7天连锁酒店(北京南站地铁站店),丰台区,丰台区开阳里三街五区4号楼（距北京南站500米，近北京南站北出口）,474,4.7,010-83538399,2015,2015,242
海友酒店(北京蓟门桥店),海淀区,海淀区蓟门桥北三环中路明光北里2号（近地铁13号线大钟寺站A口）,406,4.7,010-61198678/60871888,2015,2015,341
汉庭(北京水立方店),朝阳区,朝阳区裕民路3号楼1号院（近北三环科技馆）,309,4.7,010-52828055,2015,2011,484
万方苑国际酒店,丰台区,丰台区南三环西路4号院1号楼,196,4.7,010-67526666,2015,2010,2356
六铺炕宾馆,西城区,西城区六铺炕南小街1号（地铁2号线或8号线鼓楼大街站A2口出向北400米）,165,4.7,010-82070088/13901109735,2015,2001,428
7天连锁酒店(北京宋家庄地铁站店),丰台区,丰台区南窑村3号,3802,4.7,010-52979777/52979778,2014,2014,210
北京德全酒店(石佛营店),朝阳区,朝阳区石佛营东里133号院4号楼（紫萝园小区门口）,2430,4.7,010-85833349/85822249,2014,2014,240
7天连锁酒店(北京中关村苏州桥店),海淀区,海淀区小南庄400号龙都宾馆院里（万柳东路斜街路口）,2270,4.7,010-61943336-0,2014,2014,326
时尚东润快捷酒店(北京鸟巢店),朝阳区,朝阳区大屯路北沙滩桥东公交站物美超市3层,1829,4.7,010-52071799,2014,2014,282
7天连锁酒店(北京石景山古城地铁站店),石景山区,景山区古城南里8号（1号线古城站C口）,1707,4.7,010-88922288,2014,2009,252
海友酒店(北京大观园店),西城区,西城区南菜园街丁35号,1638,4.7,010-83525866,2014,2014,208
格林豪泰快捷酒店(北京首都机场第二店),顺义区,顺义区天竺镇天竺中街4号（天竺大街与天北路交叉口）,1448,4.7,010-64576112/52138888,2014,2014,560
桃丝主题酒店(亚运村店),朝阳区,朝阳区安定路安苑北里14楼奥体公寓东门（安慧桥南侧）,855,4.7,010-64946883,2014,2012,1239
